uid,age,registered_year
85788,32,2020
19171,30,2009
7780,51,2012
14998,17,2019
94913,33,2010
23484,18,2012
47520,63,2018
106310,19,2018
16170,18,2017
75441,27,2019
23485,40,2011
46328,35,2018
94914,43,2013
25856,50,2019
31798,38,2011
10194,43,2014
17331,35,2009
21028,18,2014
100869,32,2010
16171,37,2016
58762,21,2014
37230,65,2018
118261,20,2013
99637,17,2017
93687,47,2012
17954,37,2019
39005,38,2016
85789,21,2017
9577,32,2008
7781,21,2013
70727,21,2015
61157,65,2010
59995,44,2019
56342,16,2018
98498,27,2017
25265,32,2013
102084,72,2018
29373,19,2016
109929,41,2018
81484,33,2010
36650,34,2015
47521,21,2012
56343,27,2013
78442,21,2013
93034,48,2015
18575,32,2009
9578,26,2018
33038,23,2015
36070,41,2013
76058,54,2016
113527,17,2017
97318,40,2011
91205,44,2010
13760,30,2014
73686,30,2008
51617,32,2011
53980,31,2015
77854,46,2018
98499,40,2007
112987,53,2012
9002,39,2017
88803,17,2018
27650,32,2009
39006,22,2011
24046,50,2012
79096,28,2015
76060,19,2016
16172,37,2016
7783,17,2017
4148,31,2014
15587,44,2013
19769,20,2015
81485,52,2010
52189,19,2020
60554,35,2014
1801,19,2015
111802,18,2017
118884,26,2011
35485,18,2018
99031,49,2011
90618,15,2020
14354,53,2018
55136,39,2015
101459,52,2014
58764,46,2013
108141,44,2018
98500,19,2013
61158,51,2010
94283,27,2014
8400,40,2019
117079,35,2008
76651,15,2015
115241,36,2010
57536,32,2012
113528,39,2011
93688,39,2011
96671,38,2019
1,34,2009
86393,24,2018
39623,63,2021
106313,39,2009
12578,38,2019
79099,44,2015
13154,30,2018
58161,30,2017
23488,53,2013
69555,60,2020
71311,51,2016
46329,67,2015
40838,19,2017
7785,26,2015
69556,37,2008
85790,38,2010
68294,41,2021
82102,34,2007
79101,46,2013
98501,40,2011
31803,40,2011
76062,23,2010
66513,30,2009
109371,28,2011
55733,42,2008
28829,38,2014
77244,32,2010
105722,27,2013
59358,18,2015
65935,26,2019
63602,33,2015
47528,35,2009
74265,30,2008
100871,21,2011
104499,33,2010
62987,65,2021
34881,26,2010
27041,36,2010
1176,25,2012
79103,46,2017
70131,22,2019
37831,19,2012
56968,30,2021
18577,33,2015
25860,26,2021
21030,18,2015
43245,52,2011
46933,50,2011
10804,45,2011
114079,34,2015
79104,43,2011
1177,24,2012
13157,57,2012
117689,26,2016
29374,50,2013
34882,30,2010
88805,18,2013
108143,41,2009
104500,33,2009
6541,22,2013
41455,21,2017
52759,32,2017
93039,43,2014
7150,29,2018
96674,41,2009
89373,21,2014
65339,24,2009
19175,71,2011
83925,43,2013
67123,50,2018
17333,46,2014
4,29,2011
84531,30,2009
45086,34,2011
43808,14,2019
106316,27,2010
74861,16,2016
118265,16,2019
9004,36,2019
42639,38,2021
89997,40,2012
106909,15,2020
109372,24,2018
119483,33,2013
45721,21,2018
61785,35,2011
100224,17,2018
85174,30,2011
17956,53,2019
82103,44,2018
94285,28,2015
2389,66,2014
106910,43,2019
73687,42,2008
97322,16,2019
