uid,school_education,graduation_1,graduation_2,graduation_3,graduation_4,graduation_5,graduation_6,graduation_7
356,,,,,,,,
26356,,,,,,2006,,
97,,,,,,,,
319,,,,,,,,
30288,2008,,,,,2013,,
281,,,,,,,,
285,,,,,,,,
544,,,,,,,,
278,,,,,,,,
25275,2007,,,,,,2011,
422,,,,,,,,
311,,,,,,,,
25,,,,,,,,
270,,,,,,,,
116156,2008,,,,,,,
14,,,,,,,,
10794,2006,,,,,,,2014
99780,1995,,,,,,,
78396,2002,,,,,,,
303,,,,,,,,
74763,2007,,,,,2012,,
70703,2000,,,,,,,
577,,,,,,,,
103344,1987,,,,,2016,,
57,,,,,,,,
42,,,,,,,,
37936,2012,,,,,,,
430,,,,,,,,
543,,,,,,,,
438,,,,,,,,
95312,1990,,,,,,,
104435,2003,,,,,2011,,
78663,2013,,,,,,,
392,,,,,,,,
434,,,,,,,,
352,,,,,,,,
71,,,,,,,,
32,,,,,,,,
224,,,,,,,,
413,,,,,,,,
42862,2019,,,,,,,
94701,2014,,,,,,,
371,,,,,,,,
175,,,,,,,,
567,,,,,,,,
72164,,,,2018,2020,,,
17659,1972,,,,,,,
109180,2004,,,,,,,
106890,2008,,,,,,,
357,,,,,,,,
265,,,,,,,,
76,,,,,,,,
526,,,,,,,,
42999,1999,,,,,,,
486,,,,,,,,
279,,,,,,,,
329,,,,,,,,
453,,,,,,,,
318,,,,,,,,
376,,,,,,,,
53052,1999,,,,,,,
54326,,,,,,,,2011
75,,,,,,,,
334,,,,,,,,
101,,,,,,,,
102034,1995,,,,,,,
267,,,,,,,,
317,,,,,,,,
121,,,,,,,,
108959,2002,,,,,,,
389,,,,,,,,
767,1993,,,,,,,
75016,1985,,,,,,,
112,,,,,,,,
102,,,,,,,,
433,,,,,,,,
373,,,,,,,,
115280,2003,,,,,2009,,
226,,,,,,,,
70,,,,,,,,
244,,,,,,,,
47388,1992,,,,,1997,,
207,,,,,,,,
261,,,,,,,,
58457,2001,,,,,2007,,
11876,1996,,,,,,,
114,,,,,,,,
92996,2017,,2023,,,,,
338,,,,,,,,
359,,,,,,,,
109003,1998,,,,,,,
81,,,,,,,,
449,,,,,,,,
521,,,,,,,,
29,,,,,,,,
461,,,,,,,,
80,,,,,,,,
95,,,,,,,,
246,,,,,,,,
158,,,,,,,,
202,,,,,,,,
570,,,,,,,,
116636,2001,,,,,,,
128,,,,,,,,
390,,,,,,,,
106769,1986,,,,,,,
68681,,,,,,,,2005
14827,2008,,,,,,,
481,,,,,,,,
542,,,,,,,,
506,,,,,,,,
28959,1977,,,,,1983,,
41642,1997,,,,,,,
45477,2008,,,,,,,
47584,1992,,,,,,,
473,,,,,,,,
4,,,,,,,,
98,,,,,,,,
361,,,,,,,,
87,,,,,,,,
163,,,,,,,,
296,,,,,,,,
509,,,,,,,,
291,,,,,,,,
88046,2022,,,,,,,
240,,,,,,,,
116014,,,,,,2006,,
60030,1980,,,,,1985,,
214,,,,,,,,
113528,2000,,,,,2012,,
64373,1995,,,,,,,
260,,,,,,,,
48475,2000,,,,,,,
557,,,,,,,,
16442,2007,,,,,,,
540,,,,,,,,
153,,,,,,,,
77,,,,,,,,
56551,2001,,,,,2006,,
62,,,,,,,,
10,,,,,,,,
53686,2011,,,,,,,
41866,2005,,,,,,,
514,,,,,,,,
467,,,,,,,,
225,,,,,,,,
324,,,,,,,,
263,,,,,,,,
476,,,,,,,,
218,,,,,,,,
129,,,,,,,,
26,,,,,,,,
36,,,,,,,,
44022,2008,,,,,,,
104766,1983,,1988,,,,,
345,,,,,,,,
108006,1992,,,,,,,
103,,,,,,,,
255,,,,,,,,
534,,,,,,,,
46548,2021,,,,,,,
25043,,,2009,,,,2014,
67044,1995,,,,,,,
118233,2016,,,,,,,
382,,,,,,,,
119898,2012,,,,,,,
7837,2014,,,,,,2018,
712,,,,,,,,
590,,,,,,,,
866,,,,,,,,
1039,,,,,,,,
